q,inlet,outlet
0,0,1.5
30,2.13,1.61
60,3.22,1.92
90,4.1,2.45
120,5.02,3.19
150,6.15,4.69
180,7.54,6
200,8.61,6.97
240,10.08,8.3
270,10.17,8.38
300,10.24,8.37
