q,inlet,outlet
0,0,2
0.3,0.45,2.02
0.6,0.67,2.07
0.9,0.84,2.15
1.2,1.01,2.27
1.5,1.22,2.43
1.8,1.47,2.62
2.1,1.77,2.84
2.4,2.13,3.09
2.7,2.53,3.38
3,2.99,3.71
