q,xpswmm
149.102,105.943
148.885,105.935
148.669,105.928
148.457,105.92
148.239,105.912
148.022,105.905
147.808,105.897
147.591,105.89
147.375,105.882
147.16,105.875
146.947,105.867
146.729,105.86
146.515,105.852
146.299,105.845
146.083,105.837
145.865,105.83
145.65,105.822
145.437,105.815
145.22,105.807
145.006,105.8
144.789,105.793
144.573,105.785
144.358,105.778
144.143,105.77
143.925,105.763
143.71,105.756
143.496,105.748
143.278,105.741
143.063,105.734
142.848,105.726
142.633,105.719
142.415,105.712
142.199,105.704
141.981,105.697
141.767,105.69
141.555,105.683
141.339,105.675
141.124,105.668
140.906,105.661
140.691,105.654
140.473,105.647
140.259,105.639
140.043,105.632
139.83,105.625
139.611,105.618
139.394,105.611
139.179,105.604
138.963,105.597
138.746,105.59
138.533,105.582
138.315,105.575
138.102,105.568
137.884,105.561
137.669,105.554
137.454,105.547
137.237,105.54
137.026,105.533
136.809,105.526
136.591,105.519
136.376,105.512
136.16,105.505
135.947,105.498
135.729,105.491
135.515,105.484
135.301,105.477
135.087,105.471
134.848,105.464
134.564,105.457
134.292,105.45
134.018,105.444
133.753,105.437
133.488,105.431
133.227,105.424
132.971,105.418
132.711,105.412
132.456,105.406
132.201,105.4
131.956,105.394
131.705,105.388
131.457,105.382
131.216,105.376
130.973,105.37
130.738,105.365
130.496,105.359
130.265,105.353
130.025,105.348
129.797,105.342
129.559,105.337
129.333,105.331
129.099,105.326
128.877,105.32
128.648,105.315
128.426,105.31
128.195,105.304
127.973,105.299
127.751,105.294
127.533,105.288
127.306,105.283
127.087,105.278
126.868,105.273
126.654,105.267
126.439,105.262
126.22,105.257
126.001,105.252
125.788,105.247
125.575,105.242
125.356,105.237
125.15,105.231
124.93,105.226
124.718,105.221
124.509,105.216
124.296,105.211
124.088,105.206
123.877,105.201
123.668,105.196
123.461,105.191
123.249,105.185
123.043,105.18
122.837,105.175
122.626,105.17
122.423,105.165
122.211,105.16
122.011,105.155
121.803,105.15
121.597,105.145
121.39,105.14
121.187,105.134
120.981,105.129
120.779,105.124
120.574,105.119
120.368,105.114
120.171,105.109
119.967,105.104
119.76,105.098
119.56,105.093
119.355,105.088
119.153,105.083
118.953,105.078
118.75,105.073
118.55,105.067
118.349,105.062
118.151,105.057
117.973,105.052
117.805,105.046
117.636,105.041
117.467,105.035
117.297,105.03
117.119,105.024
116.941,105.019
116.769,105.013
116.589,105.008
116.41,105.002
116.231,104.996
116.046,104.99
115.863,104.984
115.68,104.979
115.491,104.973
115.308,104.967
115.12,104.961
114.933,104.955
114.741,104.949
114.55,104.943
114.362,104.937
114.168,104.93
113.978,104.924
113.782,104.918
113.59,104.912
113.396,104.906
113.201,104.9
113.007,104.893
112.81,104.887
112.614,104.881
112.414,104.874
112.218,104.868
112.023,104.862
111.821,104.856
111.622,104.849
111.425,104.843
111.227,104.836
111.023,104.83
110.824,104.824
110.622,104.817
110.423,104.811
110.223,104.804
110.022,104.798
109.818,104.792
109.614,104.785
109.413,104.779
109.21,104.772
109.007,104.766
108.805,104.759
108.604,104.753
108.398,104.746
108.196,104.74
107.994,104.733
107.791,104.727
107.586,104.72
107.377,104.714
107.176,104.707
106.969,104.701
106.764,104.694
106.558,104.687
106.354,104.681
106.149,104.674
105.944,104.668
105.738,104.661
105.533,104.655
105.328,104.648
105.125,104.642
104.916,104.635
104.711,104.628
104.508,104.622
104.299,104.615
104.098,104.609
103.892,104.602
103.685,104.595
103.479,104.589
103.272,104.582
103.066,104.576
102.858,104.569
102.654,104.562
102.446,104.556
102.239,104.549
102.031,104.542
101.831,104.536
101.623,104.529
101.416,104.523
101.211,104.516
101.003,104.509
100.795,104.503
100.589,104.496
100.381,104.489
100.175,104.483
99.968,104.476
99.76,104.469
99.554,104.463
99.348,104.456
99.144,104.449
98.937,104.443
98.725,104.436
98.52,104.429
98.314,104.423
98.104,104.416
97.901,104.409
97.691,104.403
97.488,104.396
97.279,104.389
97.069,104.383
96.864,104.376
96.657,104.369
96.448,104.363
96.243,104.356
96.034,104.349
95.83,104.343
95.621,104.336
95.415,104.329
95.208,104.323
95,104.316
94.793,104.309
94.587,104.302
94.381,104.296
94.175,104.289
93.966,104.282
93.763,104.276
93.552,104.269
93.347,104.262
93.14,104.256
92.933,104.249
92.725,104.242
92.524,104.235
92.316,104.229
92.108,104.222
91.903,104.215
91.694,104.209
91.487,104.202
91.28,104.195
91.075,104.188
90.867,104.182
90.659,104.175
90.452,104.168
90.248,104.162
90.039,104.155
89.833,104.148
89.631,104.141
89.42,104.135
89.218,104.128
89.009,104.121
88.802,104.114
88.599,104.108
88.388,104.101
88.185,104.094
87.979,104.087
87.769,104.081
87.564,104.074
87.354,104.067
87.152,104.06
86.947,104.054
86.738,104.047
86.528,104.04
86.326,104.033
86.115,104.027
85.908,104.02
85.705,104.013
85.499,104.006
85.289,104
85.088,103.993
84.876,103.986
84.674,103.979
84.466,103.972
84.26,103.966
84.055,103.959
83.847,103.952
83.641,103.945
83.437,103.939
83.229,103.932
83.026,103.925
82.82,103.918
82.613,103.911
82.407,103.905
82.204,103.898
81.993,103.891
81.787,103.884
81.58,103.877
81.379,103.871
81.169,103.864
80.963,103.857
80.759,103.85
80.554,103.843
80.344,103.836
80.142,103.83
79.936,103.823
79.725,103.816
79.52,103.809
79.315,103.802
79.109,103.795
78.904,103.788
78.698,103.782
78.491,103.775
78.283,103.768
78.078,103.761
77.87,103.754
77.665,103.747
77.458,103.74
77.257,103.734
77.05,103.727
76.843,103.72
76.634,103.713
76.432,103.706
76.223,103.699
76.019,103.692
75.809,103.685
75.604,103.679
75.401,103.672
75.192,103.665
74.987,103.658
74.781,103.651
74.577,103.644
74.368,103.637
74.165,103.63
73.961,103.623
73.754,103.616
73.548,103.609
73.343,103.603
73.139,103.596
72.932,103.589
72.728,103.582
72.522,103.575
72.316,103.568
72.111,103.561
71.903,103.554
71.698,103.547
71.494,103.54
71.288,103.533
71.082,103.526
70.876,103.519
70.67,103.512
70.467,103.505
70.262,103.498
70.054,103.491
69.851,103.484
69.644,103.477
69.44,103.47
69.232,103.463
69.025,103.456
68.823,103.449
68.614,103.442
68.411,103.435
68.206,103.428
67.997,103.421
67.796,103.414
67.589,103.407
67.381,103.4
67.178,103.393
66.971,103.386
66.766,103.379
66.557,103.372
66.356,103.365
66.147,103.358
65.941,103.351
65.736,103.344
65.532,103.337
65.324,103.33
65.122,103.322
64.913,103.315
64.709,103.308
64.502,103.301
64.301,103.294
64.095,103.287
63.892,103.28
63.685,103.273
63.484,103.266
63.277,103.259
63.075,103.252
62.866,103.244
62.666,103.237
62.459,103.23
62.253,103.223
62.05,103.216
61.843,103.209
61.64,103.202
61.436,103.194
61.23,103.187
61.027,103.18
60.819,103.173
60.618,103.166
60.411,103.159
60.207,103.151
60.001,103.144
59.798,103.137
59.589,103.13
59.387,103.123
59.18,103.115
58.979,103.108
58.774,103.101
58.568,103.094
58.362,103.087
58.158,103.079
57.95,103.072
57.748,103.065
57.545,103.058
57.338,103.05
57.133,103.043
56.929,103.036
56.722,103.029
56.515,103.021
56.311,103.014
56.107,103.007
55.902,102.999
55.697,102.992
55.491,102.985
55.289,102.978
55.086,102.97
54.882,102.963
54.68,102.956
54.476,102.948
54.272,102.941
54.071,102.934
53.866,102.926
53.665,102.919
53.462,102.912
53.258,102.904
53.052,102.897
52.846,102.89
52.645,102.882
52.442,102.875
52.238,102.867
52.035,102.86
51.829,102.853
51.627,102.845
51.424,102.838
51.22,102.83
51.016,102.823
50.808,102.815
50.604,102.808
50.401,102.801
50.197,102.793
49.992,102.786
49.788,102.778
49.586,102.771
49.382,102.763
49.177,102.756
48.973,102.748
48.767,102.741
48.565,102.733
48.36,102.726
48.156,102.718
47.952,102.711
47.748,102.703
47.543,102.696
47.341,102.688
47.138,102.681
46.93,102.673
46.729,102.665
46.532,102.658
46.329,102.65
46.126,102.643
45.924,102.635
45.721,102.627
45.521,102.62
45.322,102.612
45.119,102.605
44.915,102.597
44.713,102.589
44.514,102.582
44.309,102.574
44.109,102.566
43.904,102.559
43.702,102.551
43.501,102.543
43.297,102.535
43.096,102.528
42.89,102.52
42.69,102.512
42.487,102.505
42.283,102.497
42.084,102.489
41.879,102.481
41.676,102.473
41.471,102.466
41.27,102.458
41.065,102.45
40.867,102.442
40.66,102.435
40.461,102.427
40.258,102.419
40.051,102.411
39.851,102.403
39.648,102.395
39.442,102.387
39.241,102.38
39.038,102.372
38.841,102.364
38.638,102.356
38.443,102.348
38.24,102.34
38.041,102.332
37.84,102.324
37.64,102.316
37.407,102.308
37.24,102.3
37.041,102.292
36.838,102.284
36.64,102.276
36.437,102.268
36.237,102.26
36.034,102.252
35.833,102.244
35.636,102.236
35.436,102.228
35.233,102.22
35.032,102.212
34.829,102.204
34.628,102.196
34.426,102.187
34.226,102.179
34.023,102.171
33.824,102.163
33.623,102.155
33.389,102.147
33.22,102.138
33.016,102.13
32.784,102.122
32.616,102.114
32.413,102.106
32.213,102.097
32.009,102.089
31.811,102.081
31.614,102.072
31.418,102.064
31.219,102.056
31.024,102.048
30.825,102.039
30.628,102.031
30.432,102.022
30.233,102.014
30.036,102.006
29.838,101.997
29.639,101.989
29.44,101.98
29.241,101.972
29.043,101.963
28.842,101.955
28.645,101.946
28.449,101.938
28.249,101.929
28.049,101.921
27.852,101.912
27.652,101.904
27.451,101.895
27.254,101.887
27.054,101.878
26.855,101.869
26.654,101.861
26.455,101.852
26.256,101.843
26.057,101.835
25.857,101.826
25.656,101.817
25.457,101.809
25.264,101.8
25.07,101.791
24.878,101.782
24.684,101.774
24.488,101.765
24.294,101.756
24.101,101.747
23.906,101.738
23.711,101.729
23.517,101.72
23.322,101.711
23.126,101.702
22.933,101.693
22.738,101.684
22.543,101.675
22.349,101.666
22.151,101.657
21.957,101.648
21.759,101.639
21.565,101.63
21.368,101.621
21.138,101.612
20.976,101.603
20.779,101.593
20.583,101.584
20.386,101.575
20.19,101.566
19.992,101.557
19.797,101.547
19.604,101.538
19.415,101.529
19.224,101.519
19.037,101.51
18.817,101.501
18.657,101.491
18.469,101.482
18.25,101.472
18.09,101.463
17.9,101.453
17.711,101.444
17.52,101.434
17.33,101.425
17.137,101.415
16.949,101.405
16.755,101.396
16.533,101.386
16.372,101.376
16.183,101.366
15.959,101.357
16.334,101.347
17.867,101.335
19.551,101.32
21.302,101.303
22.768,101.283
23.657,101.261
23.872,101.238
23.573,101.215
22.983,101.192
22.262,101.17
21.495,101.148
20.722,101.128
19.959,101.108
19.212,101.089
18.484,101.071
17.762,101.053
17.041,101.036
16.313,101.02
15.568,101.005
14.792,100.991
13.959,100.977
13.03,100.964
11.906,100.953
10.468,100.943
8.473,100.935
5.521,100.931
1.366,100.931
-13.431,100.944
-25.506,100.978
-32.878,101.025
-37.224,101.081
-38.944,101.139
-38.864,101.199
-37.648,101.257
-35.645,101.313
-33.135,101.365
-30.299,101.412
-27.257,101.455
-24.082,101.494
-20.804,101.527
-17.447,101.555
-14.067,101.578
-10.676,101.596
-10.676,101.596
